relative_path,extension,size_bytes,modified_time,relevance,classification_reason,header_or_first_line
baseline/workbench/tonometer_baseline/yeyeye_files/dp0/act.dat,.dat,265640,1777817858.0,context,different offset/baseline study,�HDF
baseline/workbench/tonometer_baseline/yeyeye_files/dp0/SYS/MECH/ds.dat,.dat,12730472,1783213516.0,context,different offset/baseline study,/batch
data/cid_group_metrics.csv,.csv,904,1784780286.5439258,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,group,n,cct_mean_um,cct_sd_um,iop_mean_mmhg,iop_sd_mmhg,stiffness_mean_n_per_mm,stiffness_sd_n_per_mm,modulus_mean_mpa,modulus_sd_mpa,cct_ci95_low_um,cct_ci95_high_um,iop_ci95_low_mmhg,iop_ci95_high_mmhg,stiffness_ci95_low_n_per_mm,stiffness_ci95_high_n_per_mm,modulus_ci95_low_mpa,modulus_ci95_high_mpa"
data/cid_repeatability.csv,.csv,184,1784780286.5449255,context,"material/experimental reference data, not the thickness-pressure FE matrix","metric,unit,test1_mean,test1_sd,test2_mean,test2_sd,icc,source_id"
data/current_model_benchmark.csv,.csv,286,1784780286.5469265,context,"material/experimental reference data, not the thickness-pressure FE matrix","model,c10_base_mpa,c01_base_mpa,material_scale,c10_mpa,c01_mpa,d1_pa_inverse,small_strain_e_mpa,comparison_note"
data/dryad_file_manifest.csv,.csv,4014,1784780286.567926,context,"material/experimental reference data, not the thickness-pressure FE matrix","file_id,filename,expected_bytes,expected_sha256,local_bytes,local_sha256,local_status,data_role,official_download_url"
data/dryad_pressure_displacement.csv,.csv,42234,1784780286.5719273,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,pair_id,treatment,curve_type,pressure_mmhg,apex_displacement_mm,source_file"
data/dryad_pressure_displacement_validation.csv,.csv,1217,1784780286.573926,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,pair_id,treatment,experimental_points,simulation_points,simulation_status,apex_rmse_mm,apex_nrmse_span_percent,endpoint_error_mm"
data/dryad_stress_strain_workbook_qc.csv,.csv,2109,1784780286.5749307,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,pair_id,treatment,source_file,official_ogden_mu_mpa,official_ogden_alpha,workbook_ogden_mu_mpa,workbook_ogden_alpha,mu_difference_percent,alpha_difference_percent,curve_points,curve_nrmse_span_percent,qc_status"
data/human_age_reference_points.csv,.csv,1468,1784780286.5599263,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,age_year,strain,reported_stress_mpa,reported_tangent_modulus_mpa,equation_stress_mpa,equation_tangent_modulus_mpa,stress_rounding_difference_mpa,modulus_rounding_difference_mpa,modulus_relative_difference_percent"
data/human_age_stress_strain.csv,.csv,70700,1784780286.5579305,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b"
data/human_oce_anisotropy.csv,.csv,800,1784780286.5609262,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,subject,age_year,sex,spherical_diopter,cct_mm,out_of_plane_shear_g_kpa,out_of_plane_shear_sd_kpa,in_plane_tensile_e_kpa,in_plane_tensile_sd_kpa,reported_e_over_4g,calculated_e_over_4g,ratio_consistency_flag"
data/inverse_targets.csv,.csv,1572,1784780286.5649257,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,species_or_system,cohort_or_condition,metric,value,sd_or_half_width,unit,inverse_role,protocol_or_limit"
data/metric_priority.csv,.csv,1402,1784780286.5669253,context,"material/experimental reference data, not the thickness-pressure FE matrix","priority,metric,symbol,minimum_protocol,identifies,implementation_note"
data/mooney_rivlin_inverse_parameters.csv,.csv,29534,1784780286.5799277,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,pair_id,treatment,source_ogden_mu_mpa,source_ogden_alpha,fit_range,fit_end_strain,strategy,c10_mpa,c01_mpa,c01_over_c10,c10_over_current_model,equivalent_base_material_scale,mr_small_strain_e_mpa,ogden_small_strain_e_mpa,rmse_mpa,nrmse_span_percent,r_squared,max_abs_error_mpa,stability_flag,parameter_use"
data/mooney_rivlin_inverse_summary.csv,.csv,14823,1784780286.5829265,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,treatment,fit_range,strategy,metric,n,mean,sd,ci95_low,ci95_high"
data/porcine_inflation_summary.csv,.csv,897,1784780286.5639255,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,group,metric,n,mean,sd,ci95_low,ci95_high"
data/porcine_ogden_parameters.csv,.csv,793,1784780286.5629268,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,pair_id,treatment,eye,ogden_mu_mpa,ogden_alpha"
data/raw/dryad_z8w9ghx9f/eye1_stressvsstrain.xlsx,.xlsx,24643,1784702523.4491196,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE1_target_curve_before_after_CXL.xlsx,.xlsx,17602,1784702526.7911246,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/eye2_stressvsstrain.xlsx,.xlsx,24430,1784702531.4681668,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE2_target_curve_before_after_CXL.xlsx,.xlsx,17595,1784702538.6376188,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/eye3_stressvsstrain.xlsx,.xlsx,24414,1784702541.1645155,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE3_target_curve_before_after_CXL.xlsx,.xlsx,17213,1784702543.6084018,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/eye4_stressvsstrain.xlsx,.xlsx,24561,1784702546.389588,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE4_target_curve_before_after_CXL.xlsx,.xlsx,17600,1784702548.6680846,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/eye5_stressvsstrain.xlsx,.xlsx,24921,1784702551.3018343,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE5_target_curve_before_after_CXL.xlsx,.xlsx,17487,1784702553.738986,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/eye6_stressvsstrain.xlsx,.xlsx,22816,1784702556.6982977,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE6_target_curve_before_after_CXL.xlsx,.xlsx,16570,1784702560.5813327,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/eye7_stressvsstrain.xlsx,.xlsx,24844,1784702563.6809604,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/EYE7_target_cuve_before_after_CXL.xlsx,.xlsx,17487,1784702566.119595,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/Tangent_(Et)_vs_stress_curve (1).xlsx,.xlsx,92514,1784702569.221547,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/raw/dryad_z8w9ghx9f/Tangent_(Et)_vs_stress_curve.xlsx,.xlsx,92514,1784702518.610913,context,"material/experimental reference data, not the thickness-pressure FE matrix",
data/sources.csv,.csv,4768,1784780286.5419283,context,"material/experimental reference data, not the thickness-pressure FE matrix","source_id,retrieved,year,title,species,test_mode,sample_size,data_level,reusable_content,inverse_use,license,doi,url"
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_23d4f22f_full_artifact_sha256.txt,.txt,1252,1785664017.6146512,primary,multi-IOP FE transfer data at h=1.25 mm,IOP=0 TYPE=RST BYTES=2747334656 SHA256=b0bda70ff3c7712e90ba630781c368c93718143c934d2a155e46141025730387
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_23d4f22f_full_high_iop_summary.csv,.csv,4119,1785664017.6146512,primary,multi-IOP FE transfer data at h=1.25 mm,"state,input_iop_mmhg,actual_indent_mm,probe_force_n,probe_total_equivalent_pressure_mmhg,zero_reference_force_n,zero_reference_pressure_mmhg,delta_force_n,delta_probe_pressure_mmhg,ksensor_delta,frozen_model_expected_ksensor,frozen_model_expected_delta_pressure_mmhg,iop_calc_mmhg,iop_error_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,kgeo_5deg,source_git_commit"
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_23d4f22f_full_high_iop_summary.json,.json,19773,1785664017.6146512,primary,multi-IOP FE transfer data at h=1.25 mm,
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_290d0544_iop_0_to_50_step2p5_artifact_sha256.txt,.txt,848,1785664017.6146512,primary,multi-IOP FE transfer data at h=1.25 mm,fefce51b82295e41028cc00a8609267410beebb1482f89a3f76f74eebeacce43  high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_290d0544_iop_0_to_50_step2p5_summary.json
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_290d0544_iop_0_to_50_step2p5_controller_state.txt,.txt,1346,1785664017.6206284,primary,multi-IOP FE transfer data at h=1.25 mm,2026-07-30T18:07:45+08:00 START commit=290d0544218a3928009fc28f907a001cfed34c2c pressures=2.5 7.5 12.5 17.5 22.5 27.5 32.5 37.5 42.5 47.5 workers=2 np=8
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_290d0544_iop_0_to_50_step2p5_launch_metadata.json,.json,2305,1785664017.6206284,primary,multi-IOP FE transfer data at h=1.25 mm,
high_iop_mechanical_transfer_t1p25_c0p60/results/20260730_290d0544_iop_0_to_50_step2p5_summary.csv,.csv,11953,1785664017.6206284,primary,multi-IOP FE transfer data at h=1.25 mm,"state,input_iop_mmhg,actual_indent_mm,probe_force_n,zero_reference_force_n,delta_force_n,delta_probe_pressure_mmhg,ksensor_delta,frozen_model_iop_calc_diagnostic_mmhg,frozen_model_iop_error_diagnostic_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,kgeo_5deg,source_kind,source_git_commit"
