source_id,retrieved,year,title,species,test_mode,sample_size,data_level,reusable_content,inverse_use,license,doi,url
CID_2021,2026-07-22,2021,A Novel Indentation Assessment to Measure Corneal Biomechanical Properties in Glaucoma and Ocular Hypertension,human,in_vivo_flat_punch_indentation,186,group_summary_and_repeatability,"CCT, IOP, stiffness and tangent modulus by healthy/OHT/POAG group",Primary human scale check; no raw force-displacement curves,CC BY-NC-ND 4.0 article,10.1167/tvst.10.9.36,https://pmc.ncbi.nlm.nih.gov/articles/PMC8411863/
CID_METHOD_2019,2026-07-22,2019,Characterization of Corneal Biomechanical Properties and Determination of Natural Intraocular Pressure Using CID-GAT,human,in_vivo_flat_punch_indentation,,method_and_equations,E=s/Kg conversion and geometry/IOP dependence,Prevents treating CID modulus as a geometry-free constitutive parameter,Open-access article,10.1167/tvst.8.5.10,https://pmc.ncbi.nlm.nih.gov/articles/PMC6743645/
REGIONAL_CID_2017,2026-07-22,2017,In vivo measurement of regional corneal tangent modulus,human,in_vivo_flat_punch_indentation,,regional_summary,Regional tangent modulus and the 0.3-0.6 mm fitting interval,Protocol alignment and spatial heterogeneity check,CC BY 4.0 article,10.1038/s41598-017-14750-w,https://pmc.ncbi.nlm.nih.gov/articles/PMC5668273/
AGE_INFLATION_2010,2026-07-22,2010,Characterization of age-related variation in corneal biomechanical properties,human_donor,ex_vivo_inflation,57,continuous_published_equations,Age-dependent first- and fourth-cycle stress-strain equations,Human nonlinear constitutive prior and age sensitivity,Open-access article,10.1098/rsif.2010.0108,https://pmc.ncbi.nlm.nih.gov/articles/PMC2935603/
PORCINE_DRYAD_2020,2026-07-22,2020,Inflation test on eye globe for experimental evaluation of corneal cross-linking,porcine_paired,ex_vivo_inflation_and_inverse_FE,14,complete_raw_workbooks,"Pressure-apex curves, stress-strain curves, tangent modulus and paired samples",End-to-end inverse pipeline validation; not a human absolute target,CC0 1.0 dataset,10.5061/dryad.z8w9ghx9f,https://datadryad.org/dataset/doi%3A10.5061/dryad.z8w9ghx9f
PORCINE_INFLATION_2020,2026-07-22,2020,Experimental evaluation of stiffening effect induced by UVA/Riboflavin corneal cross-linking using intact porcine eye globes,porcine_paired,ex_vivo_inflation_and_inverse_FE,14,sample_level_ogden_table_and_summary,"Seven paired Ogden mu/alpha estimates, RMS error and physiological-stress tangent modulus",Parameter-range and optimizer recovery benchmark,CC BY 4.0 article,10.1371/journal.pone.0240724,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240724
SSI_2019,2026-07-22,2019,Determination of Corneal Biomechanical Behavior in-vivo for Healthy Eyes Using CorVis ST Tonometry: Stress-Strain Index,human,in_vivo_air_puff_full_field,,method_reference_curve,SSI reference stress-strain curve and deformation-profile strategy,Adds full-field deformation targets beyond a single force slope,CC BY 4.0 article,10.3389/fbioe.2019.00105,https://pmc.ncbi.nlm.nih.gov/articles/PMC6532432/
HUMAN_VISCO_2014,2026-07-22,2014,Analysis of the Viscoelastic Properties of the Human Cornea Using Scheimpflug Imaging in Inflation Experiment of Eye Globes,human_donor,ex_vivo_inflation_creep_hysteresis,,curves_and_model_summary,"Loading-unloading hysteresis, creep and modified Zener formulation",Defines hold/relaxation targets when viscoelasticity is introduced,CC BY 4.0 article,10.1371/journal.pone.0112169,https://pmc.ncbi.nlm.nih.gov/articles/PMC4232387/
HUMAN_OCE_2024,2026-07-22,2024,Simultaneous tensile and shear measurement of the human cornea in vivo using S0- and A0-wave optical coherence elastography,human,in_vivo_OCE,6,sample_level_table,"CCT, out-of-plane shear modulus and in-plane tensile modulus by subject",Independent anisotropy/model-selection constraint,Open-access article,10.1016/j.actbio.2023.12.019,https://pmc.ncbi.nlm.nih.gov/articles/PMC10872441/
NITI_OCE_2020,2026-07-22,2020,Nearly-incompressible transverse isotropy of cornea elasticity: model and experiments with acoustic micro-tapping OCE,porcine,ex_vivo_OCE,,method_and_supplement,NITI forward model separating tensile and shear responses,Constitutive upgrade path when isotropic residuals remain systematic,CC BY 4.0 article,10.1038/s41598-020-69909-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC7395720/
CUSTOM_GEOMETRY_2015,2026-07-22,2015,Customized Finite Element Modelling of the Human Cornea,human,clinical_geometry_and_FE,,open_supporting_geometry,Anterior coordinates and thickness data for customized geometry,Geometry/boundary uncertainty reduction before material fitting,CC BY 4.0 article,10.1371/journal.pone.0130426,https://pmc.ncbi.nlm.nih.gov/articles/PMC4476710/
